File_Source,BookType,Job Completion,Sample Balance,Stock Balance,Sample Discrepancy,Stock Discrepancy,Sample On Hand,Stock On Hand
GKT LK 2026,GKT4 LEMBARAN,100%,0,9,0,0,0,9
GKT LK 2026,GKT5 LEMBARAN,100%,0,1,0,0,0,1
GKT LK 2026,GKT5 MTP,100%,1,1,1,0,1,1
GKT LK 2026,LK4 LEMBARAN,100%,0,0,0,0,0,0
GKT LK 2026,LK5 LEMBARAN,100%,0,0,0,0,0,0
GKT LK 2026,LK5 MTP,100%,0,0,0,0,0,0
STPM P1 2027,PAM1_NOTA'26,100%,6,71,0,0,6,71
STPM P1 2027,PAM1_MTP'26,100%,6,0,0,0,8,9
STPM P1 2027,PAM1_ESEI'26,100%,0,40,0,0,0,40
STPM P1 2027,MUET_THEMA'26,100%,51,70,0,0,51,70
STPM P1 2027,MUET_MTP'26,100%,45,452,0,0,47,433
STPM P1 2027,SV1_RUJ'26,100%,16,154,0,0,16,154
STPM P1 2027,SJH1_MTP'26,97%,-3,-25,0,0,0,25
STPM P1 2027,EK1_RUJ'25,100%,6,95,0,0,6,95
STPM P1 2027,EK1_LEMBARAN'25,100%,0,1,0,0,0,1
STPM P1 2027,GEO1_LEMBARAN'26,100%,2,2,0,0,2,2
STPM P1 2027,GEO1_MTP'26,100%,0,15,0,0,0,15
STPM P1 2027,KMK1_RUJ'26,100%,2,16,0,0,2,16
STPM P1 2027,KMK1_MTP'26,100%,0,13,0,0,0,13
STPM P1 2027,AKAUN1_RUJ'26,100%,0,4,0,0,0,4
STPM P1 2027,BM1_NOTA'26,100%,5,112,0,0,5,109
STPM P1 2027,BM1_MTP'26,100%,0,17,0,0,0,17
STPM P1 2027,PP1_MODUL'26,100%,6,85,0,0,6,85
STPM P1 2027,PP1_MTP'26,100%,14,276,0,0,14,274
STPM P1 2027,BIO1_RUJ'26,100%,0,0,0,0,0,0
STPM P1 2027,BIO1_TOP'25,100%,0,0,0,0,0,0
STPM P1 2027,BIO1_MTP'25,100%,0,0,0,0,0,0
STPM P1 2027,KIMIA1_LEMBARAN'26,100%,2,89,0,0,2,89
STPM P1 2027,ARAB1_LEMBARAN'26,95%,2,-3,0,0,2,0
STPM P1 2027,SYARIAH1_LEMBARAN'26,100%,0,0,0,0,0,0
STPM P1 2027,USUL1_LEMBARAN'26,63%,0,-23,0,0,0,0
STPM P3 2026,PA3_NOTA'26,100%,5,60,0,0,5,56
STPM P3 2026,PA3_MTP'26,100%,0,78,0,0,0,72
STPM P3 2026,SJH3_MODUL'26,100%,21,378,0,0,21,378
STPM P3 2026,SJH3_MTP'26,100%,0,31,0,0,0,31
STPM P3 2026,EK3_RUJ'26,100%,12,321,0,0,12,321
STPM P3 2026,KMK3_RUJ'26,100%,1,12,0,0,1,12
STPM P3 2026,KMK3_MTP'26,100%,2,14,0,0,2,14
STPM P3 2026,AKAUN3_RUJ'26,100%,0,4,0,0,0,4
STPM P3 2026,BIO3_RUJ'26,100%,0,1,0,0,0,1
STPM P3 2026,BIO3_TOP'26,100%,0,1,0,0,0,1
STPM P3 2026,ARAB3_LEMBARAN'26,100%,0,0,0,0,0,0
STPM P3 2026,SUKAN3_MODUL'26,100%,0,25,0,0,0,25
STPM P3 2026,BM3_NOTA'26,100%,0,0,0,0,0,0
STPM P3 2026,BM3_MTP'26,100%,0,0,0,0,0,0
IPG Aug 2026,PEDAGOGI RUJ/25,97%,0,4,0,0,0,15
IPG Aug 2026,INOVASI DIGITAL RUJ/25,100%,0,7,0,0,0,7
IPG Aug 2026,TEKNOLOGI UNTUK PENGAJARAN RUJ/25,0%,-1,-70,0,0,0,0
IPG Aug 2026,SINTAKSIS BM RUJ/25,100%,0,4,0,0,0,5
IPG Aug 2026,"PEDAGOGI IBADAH, ADAB, DAN JAWI RUJ/24",100%,0,12,0,0,0,12
IPG Aug 2026,PENGANTAR BAHASA MELAYU RUJ/26,100%,1,40,0,0,1,40
IPG Aug 2026,ENGLISH LANGUAGE PROFICIENCY RUJ/26,83%,0,-100,0,0,0,0
IPG Aug 2026,FONETIK DAN FONOLOGI BAHASA MELAYU RUJ/26,70%,-1,-45,0,0,0,0
IPG Aug 2026,KEMAHIRAN AL-QURAN RUJ/25,82%,-1,-31,0,0,0,0
IPG Aug 2026,FIQH SIRAH DAN DAKWAH DALAM PEND. ISLAM RUJ/25,100%,0,0,0,0,0,0
IPG Aug 2026,PENGANTAR ILMU FIQH RUJ/24,100%,0,0,0,0,0,0
IPG Aug 2026,KEMAHIRAN BELAJAR RUJ/26,#DIV/0!,5,270,0,0,5,270
IPG Aug 2026,PENGANTAR AKIDAH ISLAMIAH RUJ/24,100%,0,0,0,0,0,0
IPG Aug 2026,PENDIDIKAN ISLAM RUJ/26,100%,0,0,0,0,0,0
IPG Aug 2026,PENULISAN AKADEMIK RUJ/26,89%,0,-38,0,0,0,37
IPG Aug 2026,PSIKOLOGI PERKEMBANGAN KANAK2 & REMAJA RUJ/25,100%,0,0,0,0,0,0
IPG Aug 2026,PSIKOLOGI PEMBELAJARAN RUJ/26,100%,0,0,0,0,0,0
KV S2 2026,KV_ARAB2'26,0%,10,0,0,0,2,89
KV S2 2026,KV_ARAB2'25,0%,29,1,0,0,0,29
